,大概广电局也不知道该从哪里剪
,太烧脑了，没完全看懂，这类电影可以看好几遍因为一遍不能看懂。。。。。。。。。。。。。
,梦中梦，超级酷的，想起清明梦，我尝试过清明梦，可总是在意识到自己在做梦时就立马醒了哈哈哈哈，表白小李子~
,这片子我不打分，这片子把观众的潜意识里面的装B形象勾引出来然后展现的淋漓尽致 
,这部电影真心不错。反物理学的探讨、旋转的动作场面、具有冲击力的背影音乐等，在影片的后半段，这些因素合力将你催眠，将你带入诺兰设定的电影梦境之中。
,"悬念很多，但其实道理很一般，并无深度。
不过有朋友说，真的可以这样去改变别人的潜意识，这就给这个片子增分了。"
,完美的烧脑大片，梦境空间层层递进，逻辑情节环环相扣，似海深情飘荡在梦境空间里，是迷失还是放逐……
,超精彩的电影，无论是故事的叙事技巧，拍摄手法，还是视觉感官体验都好棒！很吸引人的题材，让人眼前一亮。
山东,没有那么烧脑……这个top9的位置多少有点夸张了……
,HK iSquare。再过个10年的样子，应该就和The Shawshank Redemption一样，变成一部经典的鸡肋片。素质不低，但剪辑太碎，节奏也太仓促，结构的扭转还是掩盖不了一个弱剧本。另外实在对那些视诺兰如神明的文青对怀疑者的五毛式口气感到不解....
,太久远记不太清剧情了，不过确实很有意思。经常幻想如果我现在所经历的一切都是梦境怎么办哈哈哈哈
,【A+】20170825心血来潮为分析剧本重看，深深佩服诺兰在构筑悬疑张力上的功力
,梦境与现实，亦真亦幻，用异想天开的想象力考验着我们的判断能力。
,终于在HK的IMAX如愿以偿了……真的非常非常精彩，剧情、特效，演员的表演，以及诺兰的哲学，都是很大的亮点！
,阿凡达的高潮戏四十分钟，盗梦空间的高潮居然超过一个小时，一定要去戏院看，体验这份超长的焦虑，字幕后的额外audio内容错过也不可惜
,一环接一环，很烧脑，有意思。
,那个梦中有梦真的是令人诧异。电影好看又烧脑
,层层叠叠的梦境让人分不清现实与梦幻，看完让我甚至开始怀疑自己到底是处于现实还是仍旧在做梦。实在是太烧脑了！！！
,"一颗小小的意念种子 也会生根成形 它可能成就你 也可能毁灭你
那么 你是想放手一搏 还是要等到年华老去 心中充满遗憾 孤独地迈向黄泉路？"
,阿姆斯特朗说：《盗梦空间》的一小步，是电影史上的一大步。
